Product,O_Bar_Code,Licence_Number,,F_Bar_Code
Green Paperworks Enterprises,5342352478351,JW-6214296,,
NextGen Printworks Corporation,9049761571766,LE-3785629,,7.9381E+12
Universal Printworks Partners,5823187204061,SM-4059083,,5.85427E+12
Green Books Partners,9617438805915,IC-8981395,,9.96142E+12
Eco Paper Inc.,7109739456268,NZ-8444902,,8.84266E+12
Universal Pages Ltd.,3592005370879,NS-2663468,,6.60846E+12
Ultimate Paperworks Corporation,900613566516,DZ-3730328,,2.5499E+12
Universal Publications Co.,8755157921611,LT-5617010,,2.30835E+12
Ultimate Press Partners,2576633168035,TR-4125610,,1.1707E+12
Eco Printworks Co.,8736510162808,QW-4806479,,6.60728E+11
Premier Printworks Corporation,5036144577016,OO-9010748,,
Advanced Press Inc.,8516720306144,FN-1572096,,
Green Paper Ltd.,9059421645070,HW-1988801,,
Superior Publications Co.,5490908564230,WD-7934659,,
Ultimate Publications Global,5585788057992,YL-3434797,,7.47023E+12
Eco Press Holdings,3991821639272,NL-6402542,,5.48252E+12
Premier Publications Group,9213785401779,ZT-8874177,,6.47636E+12
Premier Paperworks Group,7720382159288,DF-2093849,,7.01004E+12
Pro Publications Inc.,8442922774552,PS-6765523,,9.65316E+12
Ultimate Paper Partners,9636925096465,CJ-8914517,,6.65638E+12
NextGen Printworks Partners,2548487082026,AB-9464965,,4.42976E+12
Universal Pages Corporation,1621568679072,OD-4636279,,
Premier Books Partners,449797315141,HQ-3943465,,
Universal Printworks Ltd.,2667783232114,LC-4442408,,
Superior Paper Inc.,3298389836775,DE-4993854,,
Eco Pages Global,9772101661391,CN-6253455,,
Ultimate Paperworks International,4495473933522,FA-3284576,,5.86463E+12
Superior Paper Inc.,1650973797584,SW-3401542,,5.6887E+12
Eco Books International,3430914794534,LN-7065568,,6.73984E+12
Premier Pages Ltd.,8729959671709,OY-5527701,,6.78144E+12
Pro Books Enterprises,5980437982666,ON-6532534,,
Eco Publishing International,7244172151764,VR-1861266,,
NextGen Publishing Enterprises,8576404454965,NA-9356871,,
Universal Media Group,5177462710796,VD-8357347,,7.2766E+12
Green Pages Ltd.,9709011158814,IJ-3252037,,6.58166E+12
Premier Publishing International,9722511962126,YD-5429632,,4.0878E+12
Eco Publishing Corporation,4727092333044,GD-5822214,,2.58665E+12
NextGen Publications Group,9029712314044,KP-8671754,,4.69643E+12
NextGen Paper Global,7534969803602,YL-7408818,,
Pro Publications Partners,2823254002424,PY-9272365,,
Ultimate Media Ltd.,5250040443135,EN-2021280,,2.18958E+12
Universal Paper Ltd.,9882878422824,UG-8492302,,1.02909E+12
Global Paper Co.,3840661723762,OI-7197178,,
NextGen Publications Inc.,3106312570930,II-5855613,,
Premier Paperworks Partners,8354761448161,YO-3197265,,
Superior Paperworks Inc.,2657904908092,HS-6899812,,
Premier Publications Global,200059707131,KX-6327674,,
Pro Publishing Holdings,8494378669161,GP-4980429,,
Global Pages Group,7365861086643,YS-4978890,,
Universal Paper Ltd.,8224337798932,CQ-2800569,,4.22402E+12
